,speech,label
0,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_back_angry.wav,angry
1,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_bar_angry.wav,angry
2,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_base_angry.wav,angry
3,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_bath_angry.wav,angry
4,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_bean_angry.wav,angry
5,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_beg_angry.wav,angry
6,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_bite_angry.wav,angry
7,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_boat_angry.wav,angry
8,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_bone_angry.wav,angry
9,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_book_angry.wav,angry
10,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_bought_angry.wav,angry
11,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_burn_angry.wav,angry
12,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_cab_angry.wav,angry
13,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_calm_angry.wav,angry
14,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_came_angry.wav,angry
15,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_cause_angry.wav,angry
16,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_chain_angry.wav,angry
17,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_chair_angry.wav,angry
18,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_chalk_angry.wav,angry
19,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_chat_angry.wav,angry
20,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_check_angry.wav,angry
21,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_cheek_angry.wav,angry
22,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_chief_angry.wav,angry
23,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_choice_angry.wav,angry
24,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_cool_angry.wav,angry
25,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_dab_angry.wav,angry
26,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_date_angry.wav,angry
27,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_dead_angry.wav,angry
28,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_death_angry.wav,angry
29,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_deep_angry.wav,angry
30,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_dime_angry.wav,angry
31,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_dip_angry.wav,angry
32,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_ditch_angry.wav,angry
33,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_dodge_angry.wav,angry
34,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_dog_angry.wav,angry
35,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_doll_angry.wav,angry
36,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_door_angry.wav,angry
37,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_fail_angry.wav,angry
38,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_fall_angry.wav,angry
39,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_far_angry.wav,angry
40,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_fat_angry.wav,angry
41,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_fit_angry.wav,angry
42,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_five_angry.wav,angry
43,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_food_angry.wav,angry
44,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_gap_angry.wav,angry
45,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_gas_angry.wav,angry
46,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_gaze_angry.wav,angry
47,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_germ_angry.wav,angry
48,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_get_angry.wav,angry
49,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_gin_angry.wav,angry
50,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_goal_angry.wav,angry
51,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_good_angry.wav,angry
52,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_goose_angry.wav,angry
53,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_gun_angry.wav,angry
54,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_half_angry.wav,angry
55,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hall_angry.wav,angry
56,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hash_angry.wav,angry
57,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hate_angry.wav,angry
58,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_have_angry.wav,angry
59,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_haze_angry.wav,angry
60,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hire_angry.wav,angry
61,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hit_angry.wav,angry
62,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hole_angry.wav,angry
63,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_home_angry.wav,angry
64,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hurl_angry.wav,angry
65,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_hush_angry.wav,angry
66,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_jail_angry.wav,angry
67,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_jar_angry.wav,angry
68,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_join_angry.wav,angry
69,./dataset\TESS Toronto emotional speech set data\OAF_angry\OAF_judge_angry.wav,angry
